username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,2017-05-06 10:47,1,0,"लगता है लालू जी मोदी के अंबानी का फ्री jio नंबर इस्तेमाल कर रहे थे. फोन टेप हो गया. #Lalutapeexposed सब मोदी का किया हुआ है. #ArnabIsBack",,,#Lalutapeexposed #ArnabIsBack,"860725127012417536",https://twitter.com/gautamtokas/status/860725127012417536
,2017-05-06 10:47,0,0,"Arnab right in action! #ArnabIsBack",,,#ArnabIsBack,"860725090606096384",https://twitter.com/Imamol97/status/860725090606096384
,2017-05-06 10:46,0,0,"#ArnabIsBack wohho!",,,#ArnabIsBack,"860725022549319680",https://twitter.com/immsubodh/status/860725022549319680
,2017-05-06 10:46,2,4,"Wonderful beginning @republic starts with a bang. Delighted to see #ArnabIsBack !! #republictv pic.twitter.com/GZ9jQiABM0",,@republic,#ArnabIsBack #republictv,"860725008347299841",https://twitter.com/ppandeyenv/status/860725008347299841
,2017-05-06 10:46,2,0,"#republictv is alive The Nation still wants to know #ArnabIsBack @republic #arnabgoswami #welcome #Arnab #Welcome #republictv pic.twitter.com/mViqPML6W4",,@republic,#republictv #ArnabIsBack #arnabgoswami #welcome #Arnab #Welcome #republictv,"860724958389051392",https://twitter.com/roymithilesh18/status/860724958389051392
,2017-05-06 10:46,0,0,"With #nitishkumar out of equation, what is the stand of opposition's grand alliance for president elections. #ArnabIsBack",,,#nitishkumar #ArnabIsBack,"860724900067254273",https://twitter.com/irajumandala/status/860724900067254273
,2017-05-06 10:45,2,21,"Testing few #missiles on #BarbaricPak will have the maximum #BadlaLo impact? Vote #MVT15M #Republic #ArnabIsBack pic.twitter.com/BayjVFV0ld",,,#missiles #BarbaricPak #BadlaLo #MVT15M #Republic #ArnabIsBack,"860724794823557122",https://twitter.com/myvotetoday/status/860724794823557122
,2017-05-06 10:45,0,0,"10 am becomes Prime Time :) All channels running expose All of a Sudden :) #ArnabIsBack",,,#ArnabIsBack,"860724730910953473",https://twitter.com/strangercalls/status/860724730910953473
,2017-05-06 10:45,0,0,"Arnab strikes back with the bang. @republic #ArnabIsBack pic.twitter.com/lbqVekWnv8",,@republic,#ArnabIsBack,"860724712611172352",https://twitter.com/vijaysingh_08/status/860724712611172352
,2017-05-06 10:45,0,0,"Hahah #Lalu ki fat gayi hogi dekh ke #republictv #ArnabIsBack #arnabgoswami https:// twitter.com/republic/statu s/860722791137423362 …",,,#Lalu #republictv #ArnabIsBack #arnabgoswami,"860724704935641088",https://twitter.com/pppatel25/status/860724704935641088
,2017-05-06 10:45,0,0,"#ArnabIsBack http:// fb.me/60x8qiaye",,,#ArnabIsBack,"860724644759957504",https://twitter.com/UnofficialArnab/status/860724644759957504
,2017-05-06 10:45,0,0,"Saturday or news expose day? #ArnabIsBack #TimesNow #republictv",,,#ArnabIsBack #TimesNow #republictv,"860724599645917185",https://twitter.com/eyecarewala/status/860724599645917185
,2017-05-06 10:45,0,2,"And finally the wait is over Arnab is back wth a bang #republictv #ArnabIsBack @RealArnabG pic.twitter.com/4U38danSpB",,@RealArnabG,#republictv #ArnabIsBack,"860724589172637696",https://twitter.com/vibhaychawla/status/860724589172637696
,2017-05-06 10:44,0,1,"R.I.P #TimesNow #ArnabisBack https:// twitter.com/TimesNow/statu s/860722987284271104 …",,,#TimesNow #ArnabisBack,"860724394758258688",https://twitter.com/juswanasay/status/860724394758258688
,2017-05-06 10:44,0,0,"Congratulations #ArnabIsBack",,,#ArnabIsBack,"860724376341274625",https://twitter.com/aloklive/status/860724376341274625
,2017-05-06 10:43,9,40,"SF-1 Now that #ArnabIsBack , will the TRPs of these English news channels fall? Vote for the #BestNewsChannel in English #MVT15M #Republic pic.twitter.com/PUyjkmNyWk",,,#ArnabIsBack #BestNewsChannel #MVT15M #Republic,"860724281998589952",https://twitter.com/myvotetoday/status/860724281998589952
